Calendar Year,Cause,Ranking,Total Deaths
2021,Malignant neoplasm of breast,11,526
2021,Malignant neoplasms of colon,12,513
2021,Malignant neoplasms of  pancreas,13,493
2021,Malignant neoplasms of prostate,14,470
2021,"Atherosclerotic cardiovascular disease, so described",15,463
2021,Congestive heart failure,16,403
2021,All other diseases of nervous system,17,376
2021,All other diseases of respiratory system,18,319
2021,Alzheimer's disease,19,310
2021,Pneumonia due to other or unspecified organisms,20,309
2021,Alcoholic liver disease,21,298
2021,"Atrial fibrillation and atrial flutter, unspecified",22,297
2021,Parkinson's disease,23,280
2021,Vascular disorders and obstruction of intestine without hernia,24,265
2021,Renal failure,25,258
2021,Fibrosis and cirrhosis of liver,26,253
2021,Hypertensive heart disease,26,253
2021,Non-Hodgkin's lymphoma,28,243
2021,"Intentional self-harm (suicide) by hanging, strangulation and suffocation",29,242
2021,All other and unspecified accidents and their sequelae,30,239
